run_id,batch,domain,n_events,decisive_step,n_labeled_steps
aime_001,1,aime,1,7,7
aime_002,1,aime,27,,37
aime_003,1,aime,2,2,5
aime_004,1,aime,4,,10
aime_005,1,aime,1,1,1
aime_006,1,aime,1,,8
aime_007,1,aime,4,2,11
aime_008,1,aime,4,,15
aime_009,1,aime,8,7,26
aime_010,1,aime,2,4,10
aime_011,1,aime,3,2,7
aime_012,1,aime,3,2,7
aime_013,1,aime,8,3,11
aime_014,1,aime,6,3,11
aime_015,1,aime,9,2,12
aime_016,2,aime,4,2,7
aime_017,2,aime,6,2,8
aime_018,2,aime,4,2,6
aime_019,2,aime,1,,7
aime_020,2,aime,4,3,10
aime_021,2,aime,6,4,14
aime_022,2,aime,4,2,8
aime_023,2,aime,50,2,53
aime_024,2,aime,8,8,14
aime_025,2,aime,1,,7
aime_026,2,aime,6,8,10
aime_027,2,aime,28,2,32
aime_028,2,aime,10,4,12
aime_029,2,aime,4,2,8
aime_030,2,aime,0,,8
airline_002,1,airline,11,19,55
airline_003,1,airline,10,10,29
airline_004,1,airline,5,22,26
airline_006,1,airline,12,4,27
airline_008,1,airline,2,2,4
airline_009,1,airline,2,2,4
airline_010,1,airline,12,9,42
airline_013,1,airline,6,,30
airline_016,1,airline,7,18,23
airline_017,1,airline,17,43,59
airline_018,1,airline,3,,25
airline_019,1,airline,2,8,7
airline_021,1,airline,1,,16
airline_022,1,airline,6,4,11
airline_024,1,airline,6,19,43
airline_025,2,airline,11,28,46
airline_026,2,airline,4,4,28
airline_029,2,airline,2,12,15
airline_030,2,airline,3,24,20
airline_031,2,airline,6,,48
airline_032,2,airline,22,71,75
airline_035,2,airline,1,2,7
airline_037,2,airline,2,,6
airline_039,2,airline,2,8,15
airline_041,2,airline,3,5,10
airline_042,2,airline,6,,18
airline_044,2,airline,5,4,12
airline_045,2,airline,22,4,54
airline_046,2,airline,20,15,52
airline_048,2,airline,4,9,19
