run_id,domain,task,batch,status,success,n_steps,wall_time
aime_000,aime,0,0,ok,True,8,69.3
aime_001,aime,1,1,ok,False,7,75.5
aime_002,aime,2,1,ok,True,37,334.3
aime_003,aime,3,1,ok,False,5,34.1
aime_004,aime,4,1,ok,True,10,117.3
aime_005,aime,5,1,ok,False,1,6.5
aime_006,aime,6,1,ok,True,8,89.5
aime_007,aime,7,1,ok,False,11,119.1
aime_008,aime,8,1,ok,True,15,144.7
aime_009,aime,9,1,ok,False,26,740.7
aime_010,aime,10,1,ok,False,10,65.4
aime_011,aime,11,1,ok,False,7,48.3
aime_012,aime,12,1,ok,False,7,138.2
aime_013,aime,13,1,ok,False,11,216.3
aime_014,aime,14,1,ok,False,11,184.9
aime_015,aime,15,1,ok,False,12,189.5
aime_016,aime,16,2,ok,False,7,64.0
aime_017,aime,17,2,ok,False,8,97.2
aime_018,aime,18,2,ok,False,6,125.0
aime_019,aime,19,2,ok,True,7,88.7
aime_020,aime,20,2,ok,False,10,136.2
aime_021,aime,21,2,ok,False,14,137.0
aime_022,aime,22,2,ok,False,8,159.9
aime_023,aime,23,2,ok,False,53,671.4
aime_024,aime,24,2,ok,False,14,152.4
aime_025,aime,25,2,ok,True,7,117.9
aime_026,aime,26,2,ok,False,10,300.7
aime_027,aime,27,2,ok,False,32,280.2
aime_028,aime,28,2,ok,False,12,85.0
aime_029,aime,29,2,ok,False,8,66.5
aime_030,aime,30,2,ok,True,8,73.2
airline_000,airline,0,0,ok,False,101,353.0
airline_002,airline,2,1,ok,False,69,317.7
airline_003,airline,3,1,ok,False,34,153.3
airline_004,airline,4,1,ok,False,35,159.5
airline_006,airline,6,1,ok,False,37,68.2
airline_008,airline,8,1,ok,False,5,13.5
airline_009,airline,9,1,ok,False,5,73.7
airline_010,airline,10,1,ok,False,52,239.3
airline_013,airline,13,1,ok,True,35,178.0
airline_016,airline,16,1,ok,False,31,64.4
airline_017,airline,17,1,ok,False,71,270.3
airline_018,airline,18,1,ok,True,32,104.3
airline_019,airline,19,1,ok,False,8,632.6
airline_021,airline,21,1,ok,True,21,70.5
airline_022,airline,22,1,ok,False,14,28.8
airline_024,airline,24,1,ok,False,54,249.0
airline_025,airline,25,2,ok,False,54,173.9
airline_026,airline,26,2,ok,False,34,99.1
airline_029,airline,29,2,ok,False,19,71.1
airline_030,airline,30,2,ok,False,24,94.3
airline_031,airline,31,2,ok,True,56,183.6
airline_032,airline,32,2,ok,False,88,276.1
airline_035,airline,35,2,ok,False,9,76.6
airline_037,airline,37,2,ok,True,8,26.1
airline_039,airline,39,2,ok,False,18,682.4
airline_041,airline,41,2,ok,False,12,53.7
airline_042,airline,42,2,ok,True,25,58.3
airline_044,airline,44,2,ok,False,16,31.7
airline_045,airline,45,2,ok,False,71,222.0
airline_046,airline,46,2,ok,False,68,176.8
airline_048,airline,48,2,ok,False,24,197.4
